Order_ID	Customer	Customer_Country	Employee	Order_Year	Order_Month	Shipper	Freight	Product	Sales	Product_Unit_Price	Product_Units_InStock	Product_Units_On_Order	Category	Supplier	Supplier_Country	Order_Unit_Cost	Order_ExtendedCost	Profit	Count	__SEGMENT
10248	Vins Alcools	France	Buchanan	2006	6-Jul	Federal Shipping	32.38	My Brand C	168	21	22	30	Dairy Products	CQL	Spain	6	72	96	1	All Data
10248	Vins Alcools	France	Buchanan	2006	6-Jul	Federal Shipping	32.38	My Brand B	98	14	26	0	Grains	Leka	Singapore	4	40	58	1	All Data
10248	Vins Alcools	France	Buchanan	2006	6-Jul	Federal Shipping	32.38	My Brand A	174	34.8	14	0	Dairy Products	Formaggi	Italy	14	70	104	1	All Data
10249	Toms Indepth	Germany	Suyama	2006	6-Jul	Speedy Express	11.61	My Brand C	167.4	23.25	35	0	Produce	Mayumis	Japan	7	63	104.4	1	All Data
10249	Toms Indepth	Germany	Suyama	2006	6-Jul	Speedy Express	11.61	My Brand B	1696	53	20	0	Produce	Gmate	Australia	17	680	1016	1	All Data
10250	Hanari	Brazil	Peacock	2006	6-Jul	United Package	65.83	My Brand B	77	9.65	85	0	Seafood	NE Seafood	USA	3	30	47	1	All Data
10250	Hanari	Brazil	Peacock	2006	6-Jul	United Package	65.83	My Brand C	1261.4	53	20	0	Produce	Gmate	Australia	17	595	666.4	1	All Data
10250	Hanari	Brazil	Peacock	2006	6-Jul	United Package	65.83	My Brand B	214.2	21.05	76	0	Condiments	Cajun	USA	7	105	109.2	1	All Data
10251	V en stock	France	Leverling	2006	6-Jul	Speedy Express	41.34	My Brand A	95.76	21	104	0	Grains	PBAB	Sweden	7	42	53.76	1	All Data
10251	V en stock	France	Leverling	2006	6-Jul	Speedy Express	41.34	My Brand A	222.3	19.5	36	0	Grains	Pasta BSRL	Italy	6	90	132.3	1	All Data
10251	V en stock	France	Leverling	2006	6-Jul	Speedy Express	41.34	My Brand D	336	21.05	76	0	Condiments	Cajun	USA	7	140	196	1	All Data
10252	Supremes	Belgium	Peacock	2006	6-Jul	United Package	51.3	My Brand C	2462.4	81	40	0	Confections	Specialty	UK	26	1040	1422.4	1	All Data
10252	Supremes	Belgium	Peacock	2006	6-Jul	United Package	51.3	My Brand A	47.5	2.5	112	0	Dairy Products	Norske	Norway	1	25	22.5	1	All Data
10252	Supremes	Belgium	Peacock	2006	6-Jul	United Package	51.3	My Brand C	1088	34	19	0	Dairy Products	Gai P	France	11	440	648	1	All Data
10253	Hanari	Brazil	Leverling	2006	6-Jul	United Package	58.17	My Brand D	200	12.5	0	70	Dairy Products	Formaggi	Italy	4	80	120	1	All Data
10253	Hanari	Brazil	Leverling	2006	6-Jul	United Package	58.17	My Brand A	604.8	18	69	0	Beverages	Joyeux	France	6	252	352.8	1	All Data
10253	Hanari	Brazil	Leverling	2006	6-Jul	United Package	58.17	My Brand C	640	20	10	60	Confections	Karkki	Finland	6	240	400	1	All Data
10254	Chop Suey	Switzerland	Buchanan	2006	6-Jul	United Package	22.98	My Brand A	45.9	4.5	20	0	Beverages	Refrescos	Brazil	1	15	30.9	1	All Data
10254	Chop Suey	Switzerland	Buchanan	2006	6-Jul	United Package	22.98	My Brand D	342.72	24	115	0	Meat	Ma Maison	Canada	8	168	174.72	1	All Data
10254	Chop Suey	Switzerland	Buchanan	2006	6-Jul	United Package	22.98	My Brand D	168	10	4	20	Produce	Tokyo Tdrs	Japan	3	63	105	1	All Data
10255	Richter	Switzerland	Dodsworth	2006	6-Jul	Federal Shipping	148.33	My Brand B	304	19	17	40	Beverages	Liquids	UK	6	120	184	1	All Data
10255	Richter	Switzerland	Dodsworth	2006	6-Jul	Federal Shipping	148.33	My Brand A	486.5	17.45	29	0	Confections	Pavlova	Australia	6	210	276.5	1	All Data
10255	Richter	Switzerland	Dodsworth	2006	6-Jul	Federal Shipping	148.33	My Brand A	380	19	112	0	Seafood	Svensk	Sweden	6	150	230	1	All Data
10255	Richter	Switzerland	Dodsworth	2006	6-Jul	Federal Shipping	148.33	My Brand A	1320	55	79	0	Dairy Products	Gai P	France	18	540	780	1	All Data
10256	Wellington	Brazil	Leverling	2006	6-Jul	United Package	13.97	My Brand A	393	32.8	0	0	Meat	Gmate	Australia	10	150	243	1	All Data
10256	Wellington	Brazil	Leverling	2006	6-Jul	United Package	13.97	My Brand A	124.8	13	32	0	Condiments	Plutzer	Germany	4	48	76.8	1	All Data
10257	Abastos	Venezuela	Peacock	2006	6-Jul	Federal Shipping	81.91	My Brand C	877.5	43.9	49	0	Confections	Heli	Germany	14	350	527.5	1	All Data
10257	Abastos	Venezuela	Peacock	2006	6-Jul	Federal Shipping	81.91	My Brand A	86.4	18	69	0	Beverages	Joyeux	France	6	36	50.4	1	All Data
10257	Abastos	Venezuela	Peacock	2006	6-Jul	Federal Shipping	81.91	My Brand C	156	13	32	0	Condiments	Plutzer	Germany	4	60	96	1	All Data
10258	Ernst Hand	Austria	Davolio	2006	6-Jul	Speedy Express	140.51	My Brand C	608	19	17	40	Beverages	Liquids	UK	6	300	308	1	All Data
10258	Ernst Hand	Austria	Davolio	2006	6-Jul	Speedy Express	140.51	My Brand C	884	21.35	0	0	Condiments	Cajun	USA	7	455	429	1	All Data
10258	Ernst Hand	Austria	Davolio	2006	6-Jul	Speedy Express	140.51	My Brand D	122.88	32	9	40	Dairy Products	Formaggi	Italy	10	60	62.88	1	All Data
10259	Centro	Mexico	Peacock	2006	6-Jul	Federal Shipping	3.25	My Brand D	80	10	3	40	Confections	Specialty	UK	3	30	50	1	All Data
10259	Centro	Mexico	Peacock	2006	6-Jul	Federal Shipping	3.25	My Brand A	20.8	26	11	50	Seafood	Svensk	Sweden	8	8	12.8	1	All Data
10260	Ottilies	Germany	Peacock	2006	6-Jul	Speedy Express	55.09	My Brand C	92.4	9.65	85	0	Seafood	NE Seafood	USA	3	48	44.4	1	All Data
10260	Ottilies	Germany	Peacock	2006	6-Jul	Speedy Express	55.09	My Brand C	780	19.5	36	0	Grains	Pasta BSRL	Italy	6	300	480	1	All Data
10260	Ottilies	Germany	Peacock	2006	6-Jul	Speedy Express	55.09	My Brand D	443.25	49.3	17	0	Confections	Forets	Canada	16	240	203.25	1	All Data
10260	Ottilies	Germany	Peacock	2006	6-Jul	Speedy Express	55.09	My Brand A	189	15	15	10	Beverages	Pavlova	Australia	5	105	84	1	All Data
